date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:29:59	64249/64249	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202017%2002:30:01%20GMT	http://themesflat.com/html/cosine/index.html	C:/My%20Web%20Sites/my%20new%20web/themesflat.com/html/cosine/index.html	(from )
17:29:59	1515/1515	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Aug%202016%2001:05:34%20GMT	http://themesflat.com/robots.txt		(from )
17:30:01	141622/141622	---MCZ	200	added ('OK')	text/css	date:Wed,%2023%20Mar%202016%2017:33:46%20GMT	http://themesflat.com/html/cosine/stylesheets/bootstrap.css	C:/My%20Web%20Sites/my%20new%20web/themesflat.com/html/cosine/stylesheets/bootstrap.css	(from http://themesflat.com/html/cosine/index.html)
17:30:01	63983/63983	---MCZ	200	added ('OK')	text/css	date:Tue,%2030%20Aug%202016%2019:21:28%20GMT	http://themesflat.com/html/cosine/stylesheets/style.css	C:/My%20Web%20Sites/my%20new%20web/themesflat.com/html/cosine/stylesheets/style.css	(from http://themesflat.com/html/cosine/index.html)
17:30:01	10804/10804	---MCZ	200	added ('OK')	text/css	date:Mon,%2005%20Sep%202016%2011:08:13%20GMT	http://themesflat.com/html/cosine/stylesheets/responsive.css	C:/My%20Web%20Sites/my%20new%20web/themesflat.com/html/cosine/stylesheets/responsive.css	(from http://themesflat.com/html/cosine/index.html)
17:30:01	0/0	---M--	200	added ('OK')	text/css	date:Sat,%2027%20Jun%202015%2014:35:26%20GMT	http://themesflat.com/html/cosine/stylesheets/colors/color1.css	C:/My%20Web%20Sites/my%20new%20web/themesflat.com/html/cosine/stylesheets/colors/color1.css	(from http://themesflat.com/html/cosine/index.html)
17:30:02	69747/69747	---MCZ	200	added ('OK')	text/css	date:Sat,%2022%20Nov%202014%2003:11:52%20GMT	http://themesflat.com/html/cosine/stylesheets/animate.css	C:/My%20Web%20Sites/my%20new%20web/themesflat.com/html/cosine/stylesheets/animate.css	(from http://themesflat.com/html/cosine/index.html)
17:30:02	5017/5017	---M--	200	added ('OK')	image/png	date:Fri,%2005%20Aug%202016%2016:46:38%20GMT	http://themesflat.com/html/cosine/icon/apple-touch-icon-48-precomposed.png	C:/My%20Web%20Sites/my%20new%20web/themesflat.com/html/cosine/icon/apple-touch-icon-48-precomposed.png	(from http://themesflat.com/html/cosine/index.html)
17:30:02	3139/3139	---M--	200	added ('OK')	image/png	date:Fri,%2005%20Aug%202016%2016:47:04%20GMT	http://themesflat.com/html/cosine/icon/apple-touch-icon-32-precomposed.png	C:/My%20Web%20Sites/my%20new%20web/themesflat.com/html/cosine/icon/apple-touch-icon-32-precomposed.png	(from http://themesflat.com/html/cosine/index.html)
17:30:02	1772/1772	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Jul%202016%2001:59:08%20GMT	http://themesflat.com/html/cosine/icon/favicon.png	C:/My%20Web%20Sites/my%20new%20web/themesflat.com/html/cosine/icon/favicon.png	(from http://themesflat.com/html/cosine/index.html)
